Tempo,Resultado
4.4784557819366455,4
4.407752275466919,4
4.370032072067261,4
4.362979888916016,4
4.361818552017212,4
4.458052158355713,4
4.401185512542725,4
4.346364974975586,4
4.351483345031738,4
4.367546558380127,4
4.523923873901367,4
4.584695339202881,4
4.4626548290252686,4
4.536124229431152,4
4.579582691192627,4
4.446839809417725,4
4.543379068374634,4
4.603036642074585,4
4.577160835266113,4
4.373631238937378,4
4.478861093521118,4
4.648085355758667,4
4.389450311660767,4
4.418014287948608,4
4.421143293380737,4
4.452181577682495,4
4.429285049438477,4
4.5817224979400635,4
4.473223924636841,4
4.542032480239868,4
4.668758869171143,4
